,idf_weights
frankenstorm,6.7243057188315865
hot,6.7243057188315865
necessary,6.7243057188315865
mud,6.7243057188315865
irin,6.7243057188315865
heart,6.7243057188315865
reduce,6.7243057188315865
epidemic,6.739120804616728
officer,6.739120804616728
latest,6.739120804616728
broken,6.739120804616728
farming,6.739120804616728
known,6.739120804616728
monitoring,6.739120804616728
show,6.739120804616728
occurred,6.739120804616728
focus,6.739120804616728
cover,6.739120804616728
whole,6.739120804616728
went,6.739120804616728
destruction,6.754158681981268
quality,6.754158681981268
myanmar,6.754158681981268
fall,6.754158681981268
unhcr,6.754158681981268
washed,6.754158681981268
wait,6.754158681981268
devastated,6.754158681981268
battery,6.754158681981268
base,6.754158681981268
sick,6.754158681981268
includes,6.754158681981268
transportation,6.754158681981268
indonesian,6.754158681981268
looking,6.754158681981268
french,6.754158681981268
idp,6.754158681981268
cleaning,6.754158681981268
special,6.769426154112057
generator,6.769426154112057
form,6.769426154112057
feeding,6.769426154112057
purification,6.769426154112057
anyone,6.769426154112057
earth,6.769426154112057
environmental,6.769426154112057
2012,6.769426154112057
environment,6.769426154112057
hectare,6.769426154112057
traffic,6.769426154112057
600,6.769426154112057
began,6.769426154112057
meteorological,6.769426154112057
priority,6.769426154112057
bag,6.769426154112057
daily,6.769426154112057
deadly,6.784930340648022
held,6.784930340648022
increasing,6.784930340648022
na,6.784930340648022
followed,6.784930340648022
kilometre,6.784930340648022
business,6.784930340648022
always,6.784930340648022
front,6.784930340648022
tool,6.784930340648022
best,6.784930340648022
roof,6.784930340648022
evacuated,6.784930340648022
l,6.784930340648022
reached,6.784930340648022
face,6.784930340648022
valley,6.784930340648022
anymore,6.784930340648022
70,6.800678697616161
plane,6.800678697616161
leading,6.800678697616161
stock,6.800678697616161
approximately,6.800678697616161
bed,6.800678697616161
translate,6.800678697616161
delivery,6.800678697616161
28,6.800678697616161
immediately,6.800678697616161
begin,6.800678697616161
personnel,6.800678697616161
saw,6.800678697616161
rebuilding,6.816679038962602
technical,6.816679038962602
trying,6.816679038962602
closed,6.816679038962602
regarding,6.816679038962602
contribution,6.816679038962602
grain,6.816679038962602
nuclear,6.816679038962602
policy,6.816679038962602
summer,6.816679038962602
intervention,6.816679038962602
run,6.816679038962602
severely,6.816679038962602
pay,6.832939559834382
23,6.832939559834382
towards,6.832939559834382
deployed,6.832939559834382
degree,6.832939559834382
longer,6.832939559834382
lower,6.832939559834382
iom,6.832939559834382
deliver,6.832939559834382
nigeria,6.832939559834382
fish,6.832939559834382
warm,6.832939559834382
top,6.849468861785593
tonne,6.849468861785593
bouquet,6.849468861785593
swept,6.849468861785593
80,6.849468861785593
mozambique,6.849468861785593
resulted,6.849468861785593
2000,6.849468861785593
danger,6.849468861785593
existing,6.849468861785593
eight,6.849468861785593
advice,6.849468861785593
neighbouring,6.849468861785593
permanent,6.866275980101974
anti,6.866275980101974
drop,6.866275980101974
extreme,6.866275980101974
date,6.866275980101974
tablet,6.866275980101974
income,6.866275980101974
opposition,6.866275980101974
ongoing,6.866275980101974
decade,6.866275980101974
affecting,6.866275980101974
yesterday,6.866275980101974
critical,6.883370413461274
reduced,6.883370413461274
2004,6.883370413461274
soon,6.883370413461274
trained,6.883370413461274
ever,6.883370413461274
minute,6.883370413461274
ong,6.883370413461274
fao,6.883370413461274
19,6.883370413461274
democratic,6.883370413461274
helped,6.883370413461274
established,6.883370413461274
delivered,6.883370413461274
effective,6.900762156173143
buy,6.900762156173143
31,6.900762156173143
picture,6.900762156173143
act,6.900762156173143
adequate,6.900762156173143
jacmel,6.900762156173143
warned,6.900762156173143
tarpaulin,6.900762156173143
oxfam,6.900762156173143
prepare,6.900762156173143
presidential,6.900762156173143
visa,6.900762156173143
carried,6.900762156173143
12th,6.900762156173143
safety,6.900762156173143
locust,6.900762156173143
initial,6.900762156173143
wife,6.918461733272544
word,6.918461733272544
director,6.918461733272544
meet,6.918461733272544
35,6.918461733272544
alert,6.918461733272544
financial,6.918461733272544
fresh,6.918461733272544
mainly,6.918461733272544
reuters,6.918461733272544
average,6.918461733272544
sub,6.918461733272544
participate,6.918461733272544
rate,6.918461733272544
rock,6.918461733272544
room,6.936480238775222
supported,6.936480238775222
step,6.936480238775222
volcano,6.936480238775222
third,6.936480238775222
richter,6.936480238775222
joint,6.936480238775222
foundation,6.936480238775222
al,6.936480238775222
arrive,6.936480238775222
prevention,6.936480238775222
lake,6.936480238775222
taliban,6.936480238775222
32,6.936480238775222
included,6.936480238775222
york,6.936480238775222
niger,6.936480238775222
brother,6.936480238775222
r,6.936480238775222
milk,6.936480238775222
measles,6.936480238775222
xinhua,6.936480238775222
typhoon,6.936480238775222
feed,6.936480238775222
concerned,6.936480238775222
makeshift,6.936480238775222
seismic,6.954829377443419
commission,6.954829377443419
thought,6.954829377443419
usaid,6.954829377443419
sending,6.954829377443419
tremor,6.954829377443419
though,6.954829377443419
developed,6.954829377443419
sign,6.954829377443419
serve,6.954829377443419
failure,6.954829377443419
limited,6.954829377443419
search,6.954829377443419
completely,6.954829377443419
badly,6.954829377443419
billion,6.954829377443419
isolated,6.954829377443419
rebuild,6.954829377443419
sustainable,6.954829377443419
tonight,6.954829377443419
bean,6.954829377443419
explosion,6.973521510455572
different,6.973521510455572
moving,6.973521510455572
vaccine,6.973521510455572
statement,6.973521510455572
drive,6.973521510455572
clinic,6.973521510455572
2001,6.973521510455572
girl,6.973521510455572
nutrition,6.973521510455572
phase,6.973521510455572
eye,6.973521510455572
respiratory,6.973521510455572
planting,6.973521510455572
treated,6.973521510455572
pressure,6.973521510455572
snowfall,6.973521510455572
villager,6.973521510455572
supporting,6.973521510455572
launched,6.992569705426266
teacher,6.992569705426266
facing,6.992569705426266
entire,6.992569705426266
poverty,6.992569705426266
association,6.992569705426266
real,6.992569705426266
rising,6.992569705426266
highly,6.992569705426266
strategy,6.992569705426266
mostly,6.992569705426266
saint,6.992569705426266
afternoon,6.992569705426266
running,6.992569705426266
somali,6.992569705426266
yes,6.992569705426266
impasse,6.992569705426266
ration,6.992569705426266
hold,6.992569705426266
fontamara,6.992569705426266
conducted,6.992569705426266
shower,6.992569705426266
goave,6.992569705426266
telephone,6.992569705426266
respond,6.992569705426266
treat,6.992569705426266
question,7.011987791283367
pakistani,7.011987791283367
kashmir,7.011987791283367
record,7.011987791283367
variety,7.011987791283367
canned,7.011987791283367
research,7.011987791283367
dozen,7.011987791283367
fight,7.011987791283367
polio,7.011987791283367
islamic,7.011987791283367
delta,7.011987791283367
developing,7.011987791283367
