,message
2800,12
2801,10
2802,10
2803,10
2804,14
2805,11
2806,17
2807,8
2808,11
2809,9
2810,24
2811,18
2812,17
2813,9
2814,6
2815,5
2816,9
2817,22
2818,10
2819,16
2820,19
2821,18
2822,4
2823,8
2824,6
2825,11
2826,14
2827,17
2828,11
2829,7
2830,21
2831,5
2832,12
2833,8
2834,10
2835,9
2836,18
2837,20
2838,14
2839,8
2840,6
2841,8
2842,48
2843,6
2844,14
2845,8
2846,6
2847,10
2848,9
2849,21
2850,7
2851,11
2852,18
2853,18
2854,17
2855,12
2856,8
2857,8
2858,10
2859,5
2860,6
2861,10
2862,28
2863,5
2864,10
2865,6
2866,8
2867,16
2868,9
2869,11
2870,20
2871,18
2872,16
2873,15
2874,10
2875,6
2876,9
2877,11
2878,7
2879,10
2880,19
2881,23
2882,11
2883,5
2884,18
2885,6
2886,7
2887,8
2888,6
2889,5
2890,10
2891,12
2892,19
2893,18
2894,12
2895,13
2896,8
2897,14
2898,9
2899,9
2900,14
2901,13
2902,6
2903,12
2904,5
2905,8
2906,6
2907,14
2908,13
2909,10
2910,16
2911,16
2912,7
2913,7
2914,4
2915,14
2916,10
2917,13
2918,4
2919,13
2920,16
2921,12
2922,20
2923,9
2924,9
2925,13
2926,3
2927,6
2928,6
2929,5
2930,7
2931,2
2932,5
2933,19
2934,8
2935,5
2936,4
2937,8
2938,9
2939,5
2940,4
2941,5
2942,6
2943,9
2944,13
2945,13
2946,5
2947,8
2948,10
2949,6
2950,13
2951,3
2952,8
2953,13
2954,17
2955,8
2956,12
2957,16
2958,17
2959,18
2960,8
2961,6
2962,13
2963,4
2964,6
2965,7
2966,5
2967,6
2968,16
2969,6
2970,2
2971,5
2972,6
2973,9
2974,5
2975,7
2976,9
2977,6
2978,9
2979,18
2980,17
2981,7
2982,13
2983,5
2984,9
2985,17
2986,4
2987,12
2988,6
2989,6
2990,9
2991,12
2992,11
2993,13
2994,4
2995,14
